Time,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,Yaw,Pitch,Roll
1755173943.967865,-138.39034989687738,-81.5973714222598,-556.0484427362634,-0.28237071310495154,0.05584221271331023,-0.9576786661818684,-0.13135833186674284,0.9866501576400032,0.09626242817498046,0.9502693139472556,0.15298076254300094,-0.27126576868815233,150.5791059198236,-71.85460999352175,-155.05223854731844
1755173944.0031092,-135.80015275793548,-78.83002053923425,-550.7168422264677,-0.2859324046036508,0.06828424515108097,-0.955813748520977,-0.14636129115477192,0.9826422515669218,0.11398498974425855,0.9470063529085126,0.172486136543311,-0.2709750915698343,147.52166837982574,-71.26359138153758,-152.89328522412464
1755173944.0517735,-133.44179742445337,-76.40646731834713,-547.665049451705,-0.29077280332603084,0.07353935145764809,-0.9539618129847284,-0.13201785003169664,0.9844215351684602,0.11612720770595068,0.9476404719717969,0.15970662128966684,-0.2765345023632839,149.99233159619843,-71.37703172043264,-155.58080821110843
1755173944.1000009,-131.54907868843972,-75.20135761202863,-548.5697294425314,-0.3061449339977513,0.07814934691822022,-0.9487718160673662,-0.1151722545794401,0.9862639687181163,0.1184007423265527,0.9449923974099479,0.14551997658275564,-0.2929390811290858,153.58372110814807,-70.90761571944739,-159.38361331451915
1755173944.1457005,-128.9593182883447,-73.3606863614879,-546.5006896822671,-0.2985474383355269,0.10026483243634494,-0.9491134760605849,-0.11069488867764597,0.9841169443782699,0.13878213648817103,0.9479536215891252,0.146495061910255,-0.2827067883018946,152.60738371217306,-71.43329896005899,-159.65631651055858
1755173944.1936333,-126.32591461687005,-72.76876321756386,-547.3797311016626,-0.33314732485544973,0.0833174991325166,-0.9391863788833186,-0.12350905888015237,0.9836490254597187,0.1310729075235786,0.9347504331725107,0.15966461427144288,-0.3174095755224704,153.2965094904153,-69.187863044299,-159.65854129489347
1755173944.2398758,-124.08729976864642,-72.08905802397001,-551.2725137768577,-0.3560283815009803,0.10192103008226329,-0.9289003688193705,-0.09951849769714445,0.9842459188335134,0.1461370585295735,0.9291608365519372,0.14447170964082526,-0.3402764536837088,156.99530271389892,-68.30438035433308,-164.3830436751534
1755173944.280243,-121.8938699796263,-71.59251377259282,-556.3812446109596,-0.3840945392306318,0.11902763677801158,-0.9155893220304889,-0.10276495193087905,0.9799826279971295,0.17050927681062877,0.9175569462370456,0.159582174778016,-0.3641741065826427,156.33682459193474,-66.57149753940222,-165.02127828333184
1755173944.3153806,-119.95432026232484,-70.94882663842468,-561.8205722931596,-0.4048258503509073,0.12910841241699622,-0.9052331460628402,-0.11413591423437815,0.9751045446410355,0.19011607007899545,0.9072425386684353,0.1802835124562467,-0.38001161977877845,154.61959889103036,-65.12702951145096,-164.25482259257427
1755173944.3615558,-117.99010281920768,-70.3742391588162,-569.0471490254836,-0.4303420538214112,0.15323579267553622,-0.8895642239635481,-0.10258847674238475,0.9707977254989,0.2168579733508532,0.896817328753435,0.18458214434029704,-0.40205486048335615,155.34029092502433,-63.742822526869794,-166.59161717066473
